STATUS;CODMTC;DATA_INCLUSAO;USUINC;PC;FILPC;PV;FILPV;TIPCAR;CODPRODUTO;SITUAC;CODTOMADOR;TOMADOR;LINHA;PONTOINI;PONTOFIM;DATRET;DATENT;CODREM;REMETENTE;CODDES;DESTINATARIO;FM;OBSERV;DATINC;CTE;FILIALCTE;SERIECTE;TOTALFRETE;PRODUTO
;;2024-02-08 15:13:00;leticia.dourado;696;49;139322,0;26,0;3;51,0;B;353;Reckitt Benckiser;VIAAPP;ES;AL;2024-02-09;2024-02-14;353;Reckitt Benckiser;;;0.00;;2024-02-08;2900,0;49,0;1,0;30186.02;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-08 15:20:00;leticia.dourado;697;49;685,0;49,0;3;51,0;B;353;Reckitt Benckiser;VIAFOT;ES;CE;2024-02-09;2024-02-16;353;Reckitt Benckiser;;;0.00;;2024-02-08;2899,0;49,0;1,0;41824.91;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-09 08:39:00;leticia.dourado;698;49;686,0;49,0;3;51,0;B;353;Reckitt Benckiser;VIASAV;ES;BA;2024-02-09;2024-02-12;353;Reckitt Benckiser;;;0.00;;2024-02-09;2902,0;49,0;1,0;37945.86;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-09 08:42:00;leticia.dourado;699;49;139327,0;26,0;3;51,0;B;353;Reckitt Benckiser;VIASAV;ES;BA;2024-02-09;2024-02-12;353;Reckitt Benckiser;;;0.00;;2024-02-09;2901,0;49,0;1,0;13912.89;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-09 08:46:00;leticia.dourado;700;49;139400,0;26,0;3;51,0;B;353;Reckitt Benckiser;VIACTM;ES;MG;2024-02-12;2024-02-14;353;Reckitt Benckiser;;;0.00;;2024-02-09;2907,0;49,0;1,0;8513.34;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-09 13:52:00;leticia.dourado;701;49;139429,0;26,0;3;51,0;B;353;Reckitt Benckiser;VIAMPB;ES;RN;2024-02-13;2024-02-20;353;Reckitt Benckiser;;;0.00;;2024-02-09;2908,0;49,0;1,0;22735.17;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-09 13:55:00;leticia.dourado;702;49;690,0;49,0;3;51,0;B;353;Reckitt Benckiser;VIACTM;ES;MG;2024-02-12;2024-02-14;353;Reckitt Benckiser;;;0.00;;2024-02-09;2906,0;49,0;1,0;8763.48;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-09 13:58:00;leticia.dourado;703;49;688,0;49,0;3;51,0;B;353;Reckitt Benckiser;VIAJPA;ES;PB;2024-02-10;2024-02-16;353;Reckitt Benckiser;;;0.00;;2024-02-09;2905,0;49,0;1,0;20742.47;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-09 15:26:00;leticia.dourado;704;49;139347,0;26,0;3;49,0;D;353;Reckitt Benckiser;VIAAPP;ES;AL;2024-02-10;2024-02-15;353;Reckitt Benckiser;;;0.00;;2024-02-09;2904,0;49,0;1,0;17570.02;PRODUTOS ALIMENTICIOS
;;2024-02-09 15:30:00;leticia.dourado;705;49;687,0;49,0;3;49,0;B;353;Reckitt Benckiser;VIANSS;ES;SE;2024-02-10;2024-02-15;353;Reckitt Benckiser;;;0.00;;2024-02-09;2903,0;49,0;1,0;16947.50;PRODUTOS ALIMENTICIOS
;;2024-02-09 17:40:00;leticia.dourado;706;49;139451,0;26,0;3;51,0;B;353;Reckitt Benckiser;VIAGVV;ES;MG;2024-02-13;2024-02-15;353;Reckitt Benckiser;;;0.00;;2024-02-09;2916,0;49,0;1,0;6810.68;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-09 17:42:00;leticia.dourado;707;49;691,0;49,0;3;78745,0;B;353;Reckitt Benckiser;VIAGVV;ES;MG;2024-02-13;2024-02-15;353;Reckitt Benckiser;;;0.00;;2024-02-09;2909,0;49,0;1,0;6810.68;SBP MULTI INSET REG 24X380ML
;;2024-02-09 17:52:00;leticia.dourado;708;49;139466,0;26,0;3;51,0;D;353;Reckitt Benckiser;VIASUA;ES;RJ;2024-02-14;2024-02-16;353;Reckitt Benckiser;;;0.00;;2024-02-09;;;;;PRODUTO DE HIGIENE E LIMPEZA
;;2024-02-05 20:18:00;RAYONE.SOUSA;2563;28;139029,0;26,0;1;296,0;B;389;HEINEKEN;JUIPTG;MT;PR;2024-02-05;2024-02-05;389;HEINEKEN;;;0.00;;2024-02-05;4783,0;28,0;1,0;17727.27;CERVEJA EM GARRAFA
;;2024-02-07 13:40:00;barbara.evangelista;2565;28;2592,0;28,0;1;296,0;B;389;HEINEKEN;PTGSRA;PR;ES;2024-02-08;2024-02-08;389;HEINEKEN;;;0.00;;2024-02-07;294,0;28,0;52,0;17644.66;CERVEJA EM GARRAFA
;;2024-02-07 13:42:00;barbara.evangelista;2566;28;2591,0;28,0;3;296,0;B;389;HEINEKEN;PTGSRA;PR;ES;2024-02-09;2024-02-09;389;HEINEKEN;;;0.00;;2024-02-07;293,0;28,0;52,0;17644.66;CERVEJA EM GARRAFA
;;2024-02-07 13:42:00;barbara.evangelista;2567;28;2593,0;28,0;1;49,0;B;389;HEINEKEN;PTGSRA;PR;ES;2024-02-10;2024-02-10;389;HEINEKEN;;;0.00;;2024-02-07;;;;;PRODUTOS ALIMENTICIOS
